Year,Gender,Alcohol Abuse,Tobacco Prevalence,GDP per Capita,Doctors,Nurses and Midwifes,Air Pollution Death Rate Total,Universal Heath Care Coverage,Birth Rate,Government Expenditure Health,Vegetable Consumption,Fruit Consumption Apples,Diet Calories Fat,Diet Calories Carbohydrates,Basic Drinking Water Services,Clean Fuel and Technology,Total Population,Death Rate,Life Expectancy
2020,Male,15.28,16.14,42912.23,5.87,14.79,68.72,97.94,34.05,11.47,97.54,102.58,33.71,57.67,84.61,68.7,56100828.0,2.0,88.0
2021,Both,10.73,33.36,14565.89,3.85,2.76,41.61,87.56,28.8,9.49,288.3,174.69,42.87,56.57,74.72,52.79,15611658.0,8.68,88.0
2017,Both,14.17,42.93,51180.74,0.44,6.77,68.72,72.05,33.66,9.69,217.13,100.28,32.61,56.64,60.08,30.66,22963414.0,7.35,88.0
2011,Male,9.56,8.66,6080.73,7.69,12.92,80.82,51.35,8.0,7.09,193.06,154.13,42.29,50.94,90.16,71.05,30337599.0,2.18,88.0
2021,Male,9.99,18.05,73211.38,1.35,4.43,116.87,76.89,10.2,10.15,132.66,62.0,25.63,55.98,57.12,66.78,62120413.0,6.19,88.0
2016,Male,11.92,14.39,51591.9,2.96,4.74,57.41,85.3,33.84,11.42,345.15,149.01,31.94,54.28,79.47,86.83,75532067.0,2.0,88.0
2017,Both,16.85,20.73,14284.33,3.2,12.32,79.54,44.26,37.71,9.22,266.65,179.45,42.1,45.97,80.31,43.09,73954381.0,7.87,88.0
2015,Female,9.87,34.69,1845.82,4.02,4.83,71.47,99.43,34.55,3.06,283.42,165.61,43.03,52.97,83.62,87.08,13737622.0,7.5,88.0
2012,Both,10.46,23.97,25617.15,6.33,1.04,41.52,92.69,32.53,8.51,280.61,68.65,40.13,52.86,69.2,31.07,4927037.0,6.93,88.0
2022,Female,11.63,27.83,12138.74,0.25,6.99,34.1,58.84,34.17,3.2,225.2,155.39,38.4,60.59,56.06,71.11,66299788.0,10.48,88.0
2020,Both,13.8,17.57,17006.12,7.47,1.18,118.61,77.83,35.36,2.77,331.91,35.24,41.31,50.84,95.0,57.78,23128639.0,9.63,88.0
2019,Female,3.15,10.65,65558.07,5.24,13.74,28.79,61.92,34.8,8.93,225.15,128.43,39.15,50.9,96.81,53.21,46667806.0,2.0,88.0
2015,Both,10.25,15.68,45557.79,7.62,9.99,95.88,80.87,35.31,10.35,206.01,74.74,30.08,64.61,76.69,60.33,78292334.0,2.0,88.0
2021,Male,9.71,39.39,13893.16,6.58,9.16,21.86,86.16,10.74,3.59,132.11,125.39,34.32,62.36,55.93,45.65,14995118.0,6.42,88.0
2017,Female,16.75,29.1,42104.13,7.44,3.82,97.5,21.86,10.34,2.74,134.52,85.96,38.21,46.06,81.14,42.84,30050986.0,9.2,88.0
2016,Both,9.9,20.12,19778.92,4.89,10.8,26.36,26.33,21.36,10.87,271.07,21.45,36.76,62.76,69.22,86.36,69421156.0,3.91,88.0
2016,Both,9.49,36.6,73234.1,2.99,10.48,116.22,46.92,27.52,3.32,150.43,57.0,42.7,43.45,63.21,45.94,52033446.0,7.89,88.0
2013,Both,17.4,7.58,3230.59,3.65,1.85,83.89,93.41,36.22,2.35,268.61,26.78,34.48,61.33,62.6,81.59,75010485.0,9.54,88.0
2011,Male,9.21,15.16,55138.03,5.33,13.33,15.36,51.86,20.38,9.21,335.81,88.36,28.56,44.58,63.07,79.8,50574373.0,2.0,88.0
2017,Female,4.89,14.2,58156.38,3.53,9.11,84.72,91.0,18.18,10.48,181.79,154.41,29.29,50.64,69.89,32.34,24355240.0,2.0,88.0
2022,Male,5.47,44.41,5783.48,5.91,12.09,74.42,56.99,36.91,7.14,79.2,138.08,41.92,64.6,67.63,91.68,64428178.0,9.67,88.0
2010,Male,3.52,33.24,13552.71,0.92,4.68,43.82,43.11,17.23,7.4,249.96,146.23,25.17,42.43,92.64,85.25,60765174.0,9.99,88.0
2022,Female,2.01,29.71,29315.55,6.67,2.71,34.98,92.05,38.37,5.37,52.86,149.15,42.38,60.99,77.29,85.72,74696153.0,3.33,88.0
2021,Both,8.91,5.2,65217.09,1.79,10.83,87.66,64.85,14.55,4.38,286.1,79.51,26.11,52.37,74.24,86.64,38145738.0,2.48,88.0
2013,Both,14.31,12.37,40645.4,7.56,12.11,90.26,48.84,21.3,9.55,207.7,100.96,32.83,42.77,61.56,70.78,40276859.0,4.45,88.0
2018,Both,13.74,30.42,49423.77,1.41,6.4,42.63,23.55,22.84,10.49,196.92,101.35,41.0,63.81,94.42,99.54,25973466.0,5.87,88.0
2012,Both,2.51,20.19,58899.55,1.21,1.33,105.77,28.87,19.08,5.21,220.83,38.11,33.15,53.73,57.47,42.54,21573791.0,9.6,87.28
2020,Both,11.12,41.97,62246.71,6.53,12.46,35.92,31.14,8.12,4.74,204.92,115.7,41.45,62.02,65.78,35.06,79722573.0,5.58,88.0
2019,Male,4.47,35.59,36140.31,6.59,3.89,13.03,49.19,16.71,4.68,147.13,135.23,27.01,61.73,82.97,79.29,78182716.0,4.78,88.0
2014,Male,17.06,22.9,38552.45,5.96,5.75,73.98,68.59,20.49,2.51,134.45,117.75,35.23,40.37,86.6,50.58,42418752.0,5.62,88.0
2010,Female,4.68,34.98,54076.03,7.69,9.8,17.31,44.61,19.6,4.81,174.59,139.35,36.65,46.62,91.05,72.58,76411338.0,2.85,88.0
2023,Both,12.03,44.02,20340.0,2.31,2.4,36.82,25.24,37.07,2.26,318.47,39.02,42.82,48.42,73.46,57.42,28556820.0,12.6,83.48
2016,Male,7.22,23.44,64203.14,6.65,2.01,63.33,41.18,9.75,9.88,90.61,141.83,26.87,53.37,70.6,53.35,68014546.0,2.5,88.0
2022,Female,12.26,30.7,2342.38,2.95,1.36,37.93,52.69,22.39,4.56,147.43,53.3,31.77,41.8,67.98,92.53,50825966.0,11.38,88.0
2019,Female,8.6,41.75,15326.25,4.39,13.83,29.72,99.38,9.39,8.9,107.69,160.29,38.19,49.72,80.56,39.94,57393583.0,7.71,88.0
2020,Male,14.15,14.95,60174.84,3.68,5.36,85.87,51.44,42.43,7.43,178.14,59.19,44.6,60.37,70.69,43.23,57484414.0,4.54,88.0
2020,Female,5.69,40.46,26047.16,0.25,10.25,67.9,27.14,37.24,10.37,90.05,98.72,41.97,44.33,69.76,76.75,50902709.0,9.09,88.0
2012,Both,16.49,8.9,11917.6,4.68,14.85,101.57,66.49,44.34,11.6,278.24,97.96,41.93,57.53,55.76,84.78,68201008.0,5.14,88.0
2015,Female,10.0,30.94,14657.2,6.03,10.37,71.84,93.57,41.68,5.67,81.04,63.02,35.34,51.51,97.67,88.26,31421859.0,4.43,88.0
2016,Male,14.1,36.31,40182.13,1.56,8.35,60.6,82.94,19.69,2.88,249.58,77.87,36.29,41.77,57.73,46.18,67950197.0,11.42,88.0
2016,Both,15.6,29.58,63586.67,7.47,8.29,35.04,86.9,33.59,9.5,130.31,49.7,42.17,44.43,67.19,91.75,14754872.0,2.0,88.0
2010,Male,17.98,24.82,6042.28,4.34,6.28,96.09,94.26,19.34,2.21,191.66,111.22,42.39,43.53,96.46,72.67,16076758.0,9.14,88.0
2017,Both,5.58,29.69,3061.68,1.59,9.4,27.64,70.92,40.86,4.23,110.0,166.08,41.05,55.49,88.09,87.63,57415723.0,6.66,88.0
2012,Male,6.59,11.07,35315.48,5.24,14.42,32.86,99.59,23.2,2.53,269.07,70.66,41.37,42.18,81.02,34.8,60035378.0,2.0,88.0
2020,Female,6.01,13.62,71749.11,1.7,12.03,101.78,22.66,21.91,10.98,334.48,101.29,42.59,60.58,84.74,54.98,72193856.0,2.75,88.0
2019,Female,6.21,15.8,21502.53,0.7,6.94,90.24,86.79,41.82,2.05,116.52,157.9,27.28,60.17,59.37,66.74,22047164.0,10.61,88.0
2022,Male,11.32,28.91,71970.45,5.55,5.65,75.48,88.56,38.96,6.93,335.95,92.4,30.85,42.0,91.39,70.39,4579949.0,2.0,88.0
2020,Both,17.9,22.68,66665.94,1.06,13.37,9.48,93.34,43.76,6.24,147.58,153.0,44.52,62.2,66.25,36.94,40646991.0,2.0,88.0
2015,Male,17.84,14.78,21808.62,1.03,2.9,19.63,58.25,10.46,8.53,217.35,91.42,35.9,63.98,98.03,67.71,70039703.0,6.77,88.0
2023,Male,10.43,40.31,61417.55,5.97,12.89,62.5,83.02,17.0,4.9,260.48,90.44,28.53,41.09,65.41,76.58,77720122.0,4.14,88.0
2015,Male,12.22,19.96,51691.35,0.63,4.57,90.83,35.61,19.13,10.74,109.78,45.16,35.06,63.76,83.14,55.31,68640321.0,6.98,88.0
2014,Both,15.76,22.84,38777.22,6.52,11.02,58.37,68.25,23.7,9.34,183.43,40.0,37.92,46.99,79.54,65.05,39247520.0,4.53,88.0
2022,Both,16.93,21.39,32180.38,6.41,12.29,6.99,48.69,25.51,6.32,70.35,117.84,41.56,56.62,61.44,50.48,69084241.0,4.05,88.0
2015,Both,5.26,12.28,61310.3,1.3,7.68,26.19,67.69,18.78,5.58,259.12,152.37,41.24,44.37,71.33,90.94,17196277.0,2.0,88.0
2011,Male,10.46,34.27,59646.49,4.24,3.69,72.71,74.04,37.25,10.16,174.98,41.67,25.98,60.44,90.16,71.94,73701455.0,3.19,88.0
2016,Female,15.33,22.94,56964.68,0.95,12.83,84.83,47.77,16.26,9.57,317.49,165.62,34.07,61.05,64.57,68.59,45390992.0,3.86,88.0
2021,Male,6.85,5.65,74870.59,5.13,6.15,8.84,37.3,33.77,5.99,132.2,77.42,25.41,64.46,98.33,96.11,31210151.0,2.0,88.0
2012,Female,9.04,43.56,36305.62,0.69,5.49,9.98,45.74,39.52,5.41,327.08,88.04,42.76,64.81,68.3,76.55,46573130.0,7.16,88.0
2016,Both,17.77,37.63,60673.68,7.57,8.14,35.05,73.12,30.34,2.39,92.31,163.11,28.48,41.9,83.2,49.59,62742256.0,4.82,88.0
2011,Both,17.76,33.94,64795.89,1.82,7.09,14.6,74.15,21.1,2.82,232.09,163.41,37.5,56.45,82.85,74.92,19285709.0,2.42,88.0
2019,Female,16.5,39.76,16500.91,5.53,10.56,67.32,79.31,14.95,2.54,142.34,103.98,36.41,46.83,76.19,97.31,8240196.0,8.65,88.0
2016,Female,14.78,41.27,3921.33,1.2,2.92,19.23,30.12,12.97,2.24,104.53,64.28,37.51,43.14,84.49,31.65,58676296.0,13.16,75.51
2014,Both,6.31,18.5,30832.33,1.83,7.1,79.55,85.48,35.53,3.53,78.18,47.51,36.27,43.72,88.46,73.86,76202270.0,6.6,88.0
2013,Female,7.13,29.44,64369.86,3.72,13.48,94.38,75.05,25.36,10.57,246.69,63.45,39.31,63.41,82.86,40.98,50994550.0,4.2,88.0
2017,Male,10.76,29.35,22251.46,4.67,1.5,116.61,22.44,9.71,9.98,119.95,144.9,37.52,57.09,80.2,87.15,11492418.0,10.53,88.0
2019,Female,10.97,15.69,52740.75,7.99,7.4,114.07,46.85,44.4,10.46,221.84,71.93,26.81,41.26,82.3,74.85,51506491.0,3.12,88.0
2023,Male,10.09,13.88,1345.23,0.4,10.25,36.44,57.34,32.84,8.24,343.83,131.13,32.34,64.61,73.09,95.59,9418904.0,8.54,88.0
2016,Male,12.19,9.56,27168.04,0.2,13.43,8.38,48.85,39.23,8.24,144.79,51.23,35.93,60.2,58.19,76.87,24351628.0,3.46,88.0
2012,Male,8.53,31.37,46471.34,2.93,9.31,42.88,29.39,24.21,3.24,60.48,96.56,31.5,47.73,62.19,31.21,2624656.0,9.49,88.0
2021,Female,13.99,36.24,10427.98,3.06,12.54,86.48,36.59,43.35,8.99,92.85,76.34,40.21,51.77,82.3,65.72,39051380.0,10.36,88.0
2018,Female,7.34,35.44,67328.23,7.09,4.12,11.88,21.96,15.38,4.8,85.8,100.58,31.36,58.16,96.72,93.26,25776199.0,2.8,88.0
2019,Male,7.29,17.65,12395.53,7.32,5.94,46.37,27.45,14.85,7.19,188.99,111.19,41.57,56.9,56.16,46.26,7891999.0,6.99,88.0
2011,Female,4.04,13.21,68306.68,7.07,14.19,39.27,41.3,40.94,11.55,273.4,178.55,27.93,51.58,79.48,35.8,24791281.0,2.0,88.0
2014,Both,5.02,23.14,16856.09,1.32,13.4,30.22,85.6,40.99,10.71,138.93,163.98,40.39,52.81,66.34,80.39,51840853.0,3.93,88.0
2020,Both,15.61,26.87,74575.48,3.41,8.81,86.21,62.13,26.46,4.33,93.75,131.34,28.67,41.08,80.28,65.18,23197616.0,5.16,88.0
2021,Female,9.14,41.76,45672.35,6.02,7.66,80.8,53.96,12.65,9.37,242.23,44.6,35.56,52.52,88.73,33.33,11531462.0,9.15,88.0
2016,Male,5.65,39.99,7058.39,2.64,7.31,66.58,72.97,19.29,3.04,140.35,167.04,31.41,48.51,88.1,49.59,43629317.0,12.43,88.0
2021,Both,14.15,41.64,5643.57,5.37,1.82,109.74,63.32,35.9,2.27,222.55,162.81,37.75,47.13,87.62,52.87,60282859.0,15.43,88.0
2021,Male,10.86,39.01,6359.19,2.05,13.49,16.86,30.52,39.3,2.28,330.14,161.87,29.25,46.74,90.05,76.75,66428294.0,8.19,88.0
2015,Male,2.34,43.58,44570.04,2.72,12.45,22.21,37.81,20.86,3.7,137.4,96.64,40.91,56.22,58.27,63.01,37820559.0,5.54,88.0
2022,Both,7.06,23.62,60870.78,6.91,7.39,49.1,37.8,10.27,8.95,203.75,47.31,36.47,50.73,77.93,64.1,56914686.0,2.75,88.0
2014,Female,4.83,6.9,30699.84,2.15,4.91,80.43,68.0,32.63,5.63,292.04,140.7,44.15,50.65,66.78,86.46,66682887.0,6.67,88.0
2013,Both,12.49,8.34,33806.81,7.72,5.8,72.17,56.93,35.36,2.16,257.52,82.16,39.24,43.98,96.46,49.49,53863850.0,4.23,88.0
2019,Female,6.4,20.61,44525.15,2.59,2.72,13.51,51.01,23.69,11.88,275.44,75.13,37.15,64.05,90.23,77.08,42228985.0,2.0,88.0
2018,Female,3.04,15.31,40351.61,0.38,11.11,115.22,64.53,29.57,7.33,281.77,82.53,41.58,45.6,59.84,55.73,4889155.0,8.93,88.0
2011,Male,2.88,11.8,51854.18,2.19,8.79,40.08,97.61,44.53,5.94,211.97,109.45,29.39,50.15,65.95,59.29,23273747.0,2.51,88.0
2021,Male,11.31,43.13,35806.5,1.54,4.28,46.28,45.14,17.06,7.19,210.82,73.36,37.65,44.76,75.48,68.91,25653231.0,10.87,88.0
2012,Male,2.35,12.82,53768.46,4.15,9.72,76.72,61.62,29.2,7.2,265.67,130.39,32.81,57.58,98.33,78.7,31661399.0,2.0,88.0
2021,Male,15.58,43.38,74800.46,1.08,14.71,113.69,58.43,30.61,6.7,259.29,123.64,39.88,50.9,59.94,96.16,76076327.0,6.99,88.0
2010,Both,4.49,35.43,26792.1,5.08,2.71,81.21,77.33,28.32,8.13,251.02,101.42,25.49,50.34,80.56,48.83,16789140.0,9.46,88.0
2021,Male,11.71,30.64,1706.39,7.02,7.42,114.8,78.42,40.16,10.86,164.64,28.64,33.55,61.88,70.36,37.26,43370237.0,9.85,88.0
2021,Female,9.12,32.04,10121.38,3.03,7.92,26.57,78.33,30.39,5.02,298.56,169.85,38.03,58.99,84.09,60.02,79298327.0,7.04,88.0
2020,Both,9.09,18.26,41870.75,1.51,3.34,76.16,36.12,26.79,6.87,120.86,85.87,34.21,53.0,84.19,68.27,49541685.0,6.35,88.0
2019,Both,3.15,30.86,26343.93,3.32,8.44,100.32,55.93,12.55,2.04,96.72,91.91,29.76,51.71,65.83,45.96,16791967.0,9.81,88.0
2016,Female,14.84,12.47,70546.71,6.33,9.48,63.54,84.89,34.02,10.6,153.55,92.97,34.29,64.0,90.36,92.33,76819255.0,2.0,88.0
2019,Female,16.29,42.51,47356.5,4.81,3.2,46.65,50.52,12.89,5.06,126.15,78.4,41.99,63.91,59.11,85.92,26969784.0,6.52,88.0
2013,Both,2.18,17.07,39410.35,0.99,3.17,118.25,98.74,8.98,4.71,248.95,127.93,29.14,57.62,91.82,64.56,3924870.0,8.06,88.0
2020,Female,4.86,15.21,60014.53,4.39,12.99,21.21,49.18,26.08,11.98,119.31,22.23,32.34,59.0,64.54,61.5,34565805.0,2.0,88.0
2017,Both,16.46,33.45,19987.37,3.85,5.36,52.26,59.81,29.18,7.84,246.95,159.76,44.81,62.48,81.53,32.85,19328390.0,9.03,88.0
2016,Both,10.79,31.26,61624.6,2.75,9.82,105.44,57.96,44.97,3.23,203.97,36.39,43.26,64.11,70.63,67.58,65527215.0,7.44,88.0
2017,Both,4.4,23.05,1027.13,1.06,9.77,108.56,54.69,34.36,4.66,95.74,179.95,25.68,42.06,82.44,71.7,17674471.0,11.14,88.0
2017,Male,5.24,30.3,46780.06,7.85,12.75,117.74,87.65,39.4,5.53,127.52,120.49,35.61,64.93,67.03,92.41,65606336.0,4.57,88.0
2010,Female,12.56,11.38,70158.98,1.57,11.36,106.76,32.42,20.82,11.86,206.52,30.6,26.31,57.58,80.6,65.08,2990064.0,3.24,88.0
2011,Male,13.6,31.93,59259.21,1.7,12.77,10.86,65.41,26.83,6.31,269.93,109.99,43.48,54.82,55.37,41.02,74339670.0,3.44,88.0
2013,Female,11.59,15.82,64139.66,1.34,9.75,111.92,69.49,44.05,4.3,169.48,73.01,33.83,50.33,71.85,42.6,3471263.0,7.76,88.0
2011,Both,17.25,15.91,30254.04,4.65,7.29,54.24,88.1,23.44,7.7,119.85,172.49,33.37,48.41,92.19,41.19,75089334.0,4.77,88.0
2016,Female,9.91,11.49,61958.53,3.66,6.51,79.94,68.74,37.87,6.05,138.52,140.88,30.46,60.11,75.84,95.7,5987933.0,2.74,88.0
2019,Female,6.8,18.3,41671.71,2.15,6.31,50.34,96.8,27.46,2.55,78.54,101.12,36.38,56.36,77.47,85.54,69819430.0,3.73,88.0
2019,Male,9.64,18.25,46695.69,3.55,6.86,98.57,89.77,16.29,10.61,57.54,88.76,27.9,45.02,82.97,87.73,66523430.0,3.63,88.0
2016,Both,7.75,23.17,5171.52,5.45,2.81,71.23,47.9,29.48,2.16,341.94,179.34,40.98,55.25,74.54,88.83,47594465.0,9.19,88.0
2021,Male,5.59,12.62,15755.14,2.4,6.94,102.24,88.79,16.07,10.98,78.92,126.78,34.82,43.53,94.02,36.69,2975288.0,7.65,88.0
2017,Male,2.74,12.72,41681.56,7.34,6.45,27.28,96.68,8.11,9.92,87.47,102.23,36.33,52.42,73.15,79.15,49729310.0,2.0,88.0
2011,Male,7.64,26.67,5163.04,2.59,1.48,26.27,40.58,16.73,2.76,311.29,83.67,41.82,54.59,97.41,79.3,49465929.0,6.87,88.0
2020,Male,13.38,10.16,55815.35,1.75,4.85,55.64,68.82,15.15,9.24,249.05,71.93,28.7,55.89,94.46,45.74,44620078.0,3.27,88.0
2018,Female,2.3,32.56,63132.23,7.65,11.53,5.55,42.54,21.72,9.71,180.82,132.87,28.5,43.63,73.95,64.35,50558893.0,2.0,88.0
2018,Female,9.03,42.76,69090.89,6.52,9.09,84.68,71.97,40.88,8.02,244.71,114.06,33.42,42.39,71.46,76.37,77451782.0,3.96,88.0
2017,Male,12.3,22.07,8351.22,2.88,12.29,39.05,27.49,22.35,7.78,330.5,155.71,40.72,46.47,85.45,92.81,79641029.0,8.43,88.0
2017,Male,11.77,41.04,70527.24,6.76,8.6,69.09,78.74,39.27,2.5,79.81,108.57,26.17,55.18,88.99,37.73,41687615.0,2.0,88.0
2011,Male,14.43,8.93,5817.4,4.25,12.96,13.05,53.59,28.56,2.59,123.11,113.17,40.9,63.29,63.36,92.45,7434870.0,7.11,88.0
2017,Female,14.97,6.72,35974.97,2.9,12.14,24.62,66.98,8.28,9.27,308.09,96.38,35.02,59.48,65.85,94.57,10804127.0,2.99,88.0
2021,Male,13.39,33.85,63146.63,6.75,2.38,76.63,22.07,14.98,3.06,284.19,142.02,36.24,58.64,61.58,94.65,57656035.0,6.71,88.0
2014,Female,3.64,35.44,6017.09,6.07,14.68,40.15,75.64,42.46,4.42,348.28,86.4,36.29,48.26,89.23,30.34,78558891.0,6.56,88.0
2018,Male,9.6,38.72,2152.75,2.52,1.21,29.69,59.68,30.35,6.99,144.17,156.31,26.12,42.79,87.15,45.47,34940812.0,11.52,88.0
2010,Male,11.65,7.27,2651.12,4.93,9.36,31.32,70.02,42.39,3.64,333.47,72.33,30.0,62.3,63.51,78.39,7933296.0,6.24,88.0
2014,Female,5.93,36.08,38736.25,3.08,12.1,29.7,45.25,19.47,9.9,153.11,130.82,40.11,52.52,79.16,52.52,28308260.0,4.57,88.0
2016,Female,2.68,20.06,61020.48,0.21,5.65,76.63,31.67,34.51,10.07,264.53,162.88,33.25,42.51,89.39,34.28,30862321.0,3.64,88.0
2023,Male,5.58,17.13,10255.06,7.7,9.38,24.28,54.83,36.56,10.42,314.82,143.05,36.21,53.37,97.62,83.41,79727967.0,5.29,88.0
2013,Male,9.28,11.92,10046.08,4.49,6.07,46.71,95.52,44.1,2.5,101.23,74.82,43.9,56.89,63.03,32.0,54958010.0,7.93,88.0
2013,Both,8.62,44.84,42986.18,4.87,1.85,84.11,38.22,8.67,6.28,111.69,133.01,25.93,48.0,68.69,61.22,9517500.0,10.53,88.0
2015,Male,4.83,7.55,18184.73,4.88,1.12,64.07,74.07,43.23,10.47,224.29,53.12,33.99,40.23,70.68,96.33,27032430.0,4.67,88.0
2023,Female,15.19,38.08,54981.86,4.5,2.33,73.69,23.99,22.49,5.63,303.15,29.31,32.23,55.54,83.12,60.82,3979841.0,9.72,88.0
2021,Female,16.81,30.58,71262.95,2.46,2.38,33.85,77.45,39.01,8.96,73.68,146.62,27.13,41.0,61.14,93.83,52279535.0,4.52,88.0
2010,Male,5.22,34.4,57639.68,7.78,9.55,112.26,39.07,28.15,7.89,305.26,149.28,44.02,50.82,63.7,58.63,53851868.0,3.84,88.0
2013,Female,16.87,33.47,65886.41,5.05,8.36,52.6,56.12,28.89,5.47,152.94,23.67,44.23,60.62,90.12,54.27,4693990.0,4.31,88.0
2021,Both,2.29,39.34,39353.29,5.43,7.38,38.0,49.42,21.3,4.76,171.87,171.65,31.23,64.97,79.39,37.52,26908043.0,6.17,88.0
2010,Both,16.8,12.35,62558.09,3.75,10.69,109.0,29.03,38.65,8.53,151.96,91.34,43.93,49.26,62.22,55.07,72236786.0,5.38,88.0
2021,Male,17.23,5.03,14371.42,2.45,1.24,80.36,47.65,17.77,3.34,323.44,164.84,25.7,40.5,72.48,53.59,66162601.0,10.7,88.0
2013,Male,2.19,28.94,5871.41,0.7,4.79,75.6,48.01,26.21,10.6,89.24,146.11,44.62,52.32,61.05,89.26,45979584.0,8.12,88.0
2022,Male,14.21,19.15,49471.72,2.93,11.88,106.97,61.77,28.73,7.76,222.28,164.1,41.72,46.91,71.32,94.39,38821407.0,4.08,88.0
2014,Female,17.52,9.95,4654.88,1.57,13.74,11.73,97.79,35.47,3.12,94.43,153.34,29.29,62.32,73.01,31.54,79428868.0,4.92,88.0
2016,Female,16.49,12.45,67022.12,5.36,7.14,101.33,57.6,25.45,9.04,328.58,175.84,36.99,57.79,60.04,36.88,57803425.0,4.4,88.0
2019,Male,17.53,18.27,52113.32,7.06,2.14,82.95,93.15,33.17,6.31,289.38,120.66,40.97,50.11,57.69,75.03,76215553.0,5.61,88.0
2011,Male,10.81,7.81,71453.29,2.56,12.18,46.4,56.92,25.96,4.04,120.15,56.36,31.39,59.05,94.67,63.93,5819659.0,2.74,88.0
2017,Both,3.25,7.28,24090.39,2.8,13.39,34.48,28.6,32.39,11.61,139.33,82.33,32.08,48.53,94.94,50.78,17050877.0,2.5,88.0
2017,Male,15.6,41.64,36872.95,5.43,6.79,17.05,38.41,32.94,9.2,164.45,140.3,37.58,53.04,55.12,48.19,2585772.0,8.28,88.0
2020,Female,11.82,17.48,55833.43,1.36,4.41,113.22,52.6,34.25,7.93,171.63,45.12,27.94,63.07,83.85,45.73,69446617.0,8.27,88.0
2023,Both,11.84,44.29,18814.2,7.45,1.62,21.32,46.03,38.46,10.49,295.2,168.77,27.36,45.0,59.22,66.78,55569092.0,8.85,88.0
2019,Male,8.68,43.57,41005.18,3.04,9.28,34.84,89.27,28.01,7.44,219.36,52.84,30.0,47.83,91.46,31.22,14294367.0,6.12,88.0
2015,Male,11.15,10.7,49732.47,0.99,13.74,84.48,74.29,15.15,6.41,178.38,160.16,39.83,62.14,94.58,81.72,77937830.0,3.06,88.0
2015,Male,4.46,33.6,73427.6,1.56,10.49,86.67,66.26,33.15,3.89,265.83,97.4,32.33,51.55,82.75,51.03,76468198.0,4.32,88.0
2015,Both,13.84,29.03,56056.98,7.48,5.44,23.49,59.3,10.85,3.53,187.36,154.5,35.15,47.95,82.59,59.88,18045365.0,2.2,88.0
2021,Male,3.2,32.63,9565.31,2.13,10.0,98.63,51.78,16.1,6.32,88.47,173.33,28.91,40.93,71.72,66.89,51796079.0,11.4,88.0
2014,Male,13.68,8.85,36069.74,5.37,12.65,63.68,68.98,37.31,6.56,82.25,87.54,28.88,50.47,66.23,44.8,53481423.0,3.65,88.0
2012,Male,15.58,12.54,44486.79,1.42,7.66,102.57,29.97,24.1,9.33,147.79,131.46,38.01,52.52,77.47,91.86,420939.0,6.48,88.0
